
time: 2026-04-20 03:43:47.108932+03:00, elapsed: 29.794 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:44:15.864960+03:00, elapsed: 28.668 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:45:46.079995+03:00, elapsed: 59.102 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:45:46.690015+03:00, elapsed: 89.998 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:45:54.938642+03:00, elapsed: 37.861 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:46:19.548223+03:00, elapsed: 29.703 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 03:46:53.441040+03:00, elapsed: 30.107 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 10:13:43.246198+03:00, elapsed: 29.412 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 10:14:08.764068+03:00, elapsed: 30.235 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 10:14:39.345703+03:00, elapsed: 30.753 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 10:15:08.147292+03:00, elapsed: 29.401 sec, row count: 259503, max date: 2026-03
time: 2026-04-20 10:15:38.088177+03:00, elapsed: 29.319 sec, row count: 259503, max date: 2026-03
