
time: 2026-04-20 04:15:18.769572+03:00, elapsed: 1.060 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:15:48.869760+03:00, elapsed: 0.940 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:16:18.813310+03:00, elapsed: 0.949 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:16:48.998113+03:00, elapsed: 1.003 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:17:19.746077+03:00, elapsed: 1.719 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:17:49.100399+03:00, elapsed: 0.918 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:18:19.325553+03:00, elapsed: 0.990 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:18:49.511823+03:00, elapsed: 0.946 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:19:19.477756+03:00, elapsed: 0.879 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:19:50.420383+03:00, elapsed: 0.975 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:20:21.029856+03:00, elapsed: 0.982 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:20:51.312914+03:00, elapsed: 1.146 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:21:21.122930+03:00, elapsed: 0.819 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:21:50.563566+03:00, elapsed: 0.972 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:22:21.550740+03:00, elapsed: 0.953 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:23:20.776465+03:00, elapsed: 0.930 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:24:20.859035+03:00, elapsed: 0.799 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:24:51.019401+03:00, elapsed: 0.881 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:25:21.088716+03:00, elapsed: 0.861 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:25:50.620665+03:00, elapsed: 0.849 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:26:21.463432+03:00, elapsed: 0.844 sec, row count: 5042, max date: 2026-01
