
time: 2026-04-20 03:42:29.757229+03:00, elapsed: 18.522 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:42:59.022298+03:00, elapsed: 18.733 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:43:29.809027+03:00, elapsed: 19.453 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:44:00.766078+03:00, elapsed: 20.195 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:45:18.415687+03:00, elapsed: 67.753 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:45:35.354726+03:00, elapsed: 24.262 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:45:36.447655+03:00, elapsed: 55.481 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:47:18.505328+03:00, elapsed: 19.943 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:53:21.208748+03:00, elapsed: 19.847 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:54:09.733880+03:00, elapsed: 20.059 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:54:38.641192+03:00, elapsed: 19.414 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:55:08.587299+03:00, elapsed: 19.238 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:55:38.340578+03:00, elapsed: 18.897 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:56:10.373550+03:00, elapsed: 20.624 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:56:39.032572+03:00, elapsed: 19.269 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:57:07.800697+03:00, elapsed: 18.962 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:57:39.443225+03:00, elapsed: 20.467 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:58:08.041101+03:00, elapsed: 19.336 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:58:38.931765+03:00, elapsed: 19.627 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:59:09.062599+03:00, elapsed: 19.598 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 03:59:38.204214+03:00, elapsed: 18.595 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:00:08.476837+03:00, elapsed: 19.741 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:00:37.570950+03:00, elapsed: 18.569 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:01:07.183746+03:00, elapsed: 17.980 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:01:37.375037+03:00, elapsed: 18.046 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:02:07.592972+03:00, elapsed: 18.070 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:02:37.790912+03:00, elapsed: 18.111 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:03:07.174737+03:00, elapsed: 18.379 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:03:36.979119+03:00, elapsed: 17.993 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:04:07.068518+03:00, elapsed: 18.099 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:04:37.303254+03:00, elapsed: 18.034 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:05:07.802498+03:00, elapsed: 18.265 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:05:38.350954+03:00, elapsed: 18.656 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:06:07.440645+03:00, elapsed: 18.359 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:06:37.251436+03:00, elapsed: 18.280 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:07:07.109904+03:00, elapsed: 18.074 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:07:37.330909+03:00, elapsed: 18.205 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:08:07.394805+03:00, elapsed: 18.315 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:08:37.655880+03:00, elapsed: 18.319 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:09:07.807048+03:00, elapsed: 18.311 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:09:37.721317+03:00, elapsed: 18.043 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:10:07.282700+03:00, elapsed: 18.083 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:10:36.780286+03:00, elapsed: 18.036 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:11:06.939003+03:00, elapsed: 18.159 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:11:36.988702+03:00, elapsed: 18.136 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:12:07.446105+03:00, elapsed: 18.272 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:12:37.224431+03:00, elapsed: 18.156 sec, row count: 257065, max date: 2026-02
